doc_id,title,source,domain,owner,license,source_url,lang,pages,split,deck_id,tool,prompt_id,slide_count
socio_01,복지태도의 영향요인: 현재와 미래 불평등 수준에 대한 인식을 중심으로,"보건사회연구 43(4), 2023, 309-327",사회학,,,,ko,6,train,socio_01__claudecode,claudecode,,
socio_02,산재 노동자의 노동시장 지위 회복 영향 요인 분석: 재해 당시 노동시장 지위에 따른 차이를 중심으로,"보건사회연구 45(1), 2025, 197-220",사회학,,,,ko,6,train,socio_02__claudecode,claudecode,,
socio_03,,,,,,,,,train,socio_03__gamma,gamma,,
socio_04,"한국 성인이 지각한 사회적 자본과 다문화 수용성 간의 관계: 이주노동자, 난민, 재외동포 집단을 중심으로","보건사회연구 45(3), 2025, 126-146",사회학,,,,ko,21,test,socio_04__claudecode,claudecode,,11
arts_01,유대-아랍 음악과 문화정체성,"한국예술연구 제52호, 임성희, pp.131-136",예술,,,,ko,6,train,arts_01__claudecode,claudecode,,
arts_02,,,,,,,,,train,arts_02__gamma,gamma,,
arts_03,"김홍도의 다양한 면모를 탐구하다 (정병모, 『김홍도 새로움』 서평)","한국예술연구 2024 제45호, 367-377쪽",예술,,,,ko,5,test,arts_03__gamma,gamma,,7
bio_01,WILD YEAST · XOD INHIBITION,,,,,,ko,9,train,bio_01__chatGPT,chatGPT,,
bio_02,"BF-7, 허혈성 뇌손상을 막고 기억력을 살리다","대한해부학회지 38(2), 181-188, 2005",의학,,CC BY-NC 4.0,,ko,8,train,bio_02__claudecode,claudecode,,
bio_03,pH 감응형 수화젤 미세입자 탑재 및 방출 거동 분석,,,,,,ko,6,train,bio_03__gemini,gemini,,
bio_04,압타머를 이용한 새로운 혈흔 탐지 방법의 개발,,,,,,ko,18,test,bio_04__gemini,gemini,,
tech_01,TEXT-TO-POSE · DIFFUSION,,,,,,ko,,train,tech_01__chatGPT,chatGPT,,
tech_02,,,,,,,,,train,tech_02__claudecode,claudecode,,
tech_03,,,,,,,,,train,tech_03__claudecode,claudecode,,
tech_04,,,,,,,,,test,tech_04__claudecode,claudecode,,
finance_01,,,,,,,,,generalization,finance_01__gammaAI,gammaAI,,
finance_02,,,,,,,,,generalization,finance_02__chatGPT,chatGPT,,
finance_03,생성형 AI의 업무 활용 실태와 생산성 인식: 한국 임금근로자를 중심으로,"한국경제포럼, 2026",경제,,,,ko,,generalization,finance_03__claudecode,claudecode,,14
finance_04,금융소비자의 시간선호와 위험감수성향이 재무행동에 미치는 영향,"소비자정책교육연구, 2025",경제,,,,ko,,generalization,finance_04__gemini,gemini,,13
finance_05,코스닥 상장기업의 R&D 투자와 타인자본비용 관련성,"세무회계연구 제88호, 2026, 99-120",경제,,,,ko,22,generalization,finance_05__claudecode,claudecode,,14
