s01_c01	근거 있음	s001
s01_c02	근거 있음	s008
s02_c01	근거 있음	s020
s02_c02	근거 있음	s019
s02_c03	근거 있음	s017
s02_c04	무근거	-
s02_c05	근거 있음	s019
s02_c06	근거 있음	s020
s02_c07	근거 있음	s021
s02_c08	근거 있음	s073
s02_c09	근거 있음	s021
s03_c01	근거 있음	s026
s03_c02	근거 있음	s025
s03_c03	근거 있음	s027
s03_c04	근거 있음	s027
s03_c05	무근거	-
s04_c01	근거 있음	s054
s04_c02	근거 있음	s054
s04_c03	근거 있음	s054
s04_c04	근거 있음	s054
s05_c01	근거 있음	s057
s05_c02	Benign	-
s05_c03	무근거	-
s05_c04	Benign	-
s05_c05	근거 있음	s057
s05_c06	Benign	-
s05_c07	근거 있음	s061
s06_c01	근거 있음	s009
s06_c02	근거 있음	s009
s06_c03	Benign	-
s06_c04	Benign	-
s06_c05	근거 있음	s009
s06_c06	무근거	-
s07_c01	근거 있음	s073
s08_c01	근거 있음	s073
s08_c02	Benign	-
s08_c03	근거 있음	s069
s08_c04	근거 있음	s073
s08_c05	근거 있음	s073
s08_c06	모순	s073
s09_c01	근거 있음	s066
s09_c02	무근거	-
s09_c03	무근거	-
s09_c04	근거 있음	s046
s10_c01	근거 있음	s075
s10_c02	Benign	-
s10_c03	무근거	-
s10_c04	Benign	-
s10_c05	근거 있음	s048
s10_c06	Benign	-
s10_c07	근거 있음	s050
s10_c08	Benign	-
s10_c09	근거 있음	s081
s11_c01	근거 있음	s078
s11_c02	근거 있음	s078
s11_c03	근거 있음	s081
s11_c04	무근거	-
s11_c05	근거 있음	s081
s12_c01	Benign	-
s12_c02	Benign	-
s13_c01	Benign	-
s13_c02	Benign	-
s13_c03	Benign	-
s13_c04	Benign	-
s13_c05	Benign	-
s13_c06	Benign	-
s13_c07	Benign	-
s13_c08	Benign	-
s13_c09	Benign	-
s13_c10	Benign	-
