s01_c01	Benign	-
s01_c02	근거 있음	s001
s01_c03	근거 있음	s001
s02_c01	Benign	-
s02_c02	근거 있음	s002
s02_c03	Benign	-
s02_c04	Benign	-
s02_c05	근거 있음	s005
s02_c06	근거 있음	s013
s02_c07	Benign	-
s02_c08	근거 있음	s008
s03_c01	근거 있음	s011
s03_c02	근거 있음	s006
s03_c03	근거 있음	s010
s03_c04	근거 있음	s006
s03_c05	근거 있음	s012
s04_c01	근거 있음	s014
s04_c02	Benign	-
s04_c03	근거 있음	s016
s04_c04	Benign	-
s04_c05	근거 있음	s018
s04_c06	근거 있음	s023
s05_c01	근거 있음	s024
s05_c02	근거 있음	s006
s05_c03	근거 있음	s006
s05_c04	근거 있음	s024
s05_c05	근거 있음	s024
s06_c01	Benign	-
s06_c02	근거 있음	s024
s06_c03	Benign	-
s06_c04	Benign	-
s06_c05	근거 있음	s024
s06_c06	근거 있음	s024
s06_c07	근거 있음	s024
s06_c08	근거 있음	s024
s06_c09	Benign	-
s06_c10	Benign	-
s06_c11	근거 있음	s024
s06_c12	무근거	-
s06_c13	근거 있음	s024
s06_c14	근거 있음	s024
s07_c01	Benign	-
s07_c02	근거 있음	s006
s07_c03	근거 있음	s024
s07_c04	근거 있음	s006
s07_c05	무근거	-
s07_c06	근거 있음	s024
