s01_c01	근거 있음	s001
s01_c02	근거 있음	s001
s01_c03	근거 있음	s001
s02_c01	Benign	-
s02_c02	근거 있음	s047
s02_c03	근거 있음	s047
s02_c04	Benign	-
s02_c05	근거 있음	s049
s02_c06	근거 있음	s054
s02_c07	근거 있음	s056
s02_c08	근거 있음	s056
s02_c09	근거 있음	s143
s02_c10	근거 있음	s071
s02_c11	근거 있음	s047
s02_c12	근거 있음	s047
s02_c13	근거 있음	s048
s02_c14	근거 있음	s048
s02_c15	근거 있음	s048
s02_c16	근거 있음	s048
s03_c01	Benign	-
s03_c02	근거 있음	s091
s03_c03	Benign	-
s03_c04	근거 있음	s074
s03_c05	근거 있음	s158
s03_c06	Benign	-
s03_c07	근거 있음	s096
s03_c08	근거 있음	s067
s03_c09	근거 있음	s068
s03_c10	Benign	-
s04_c01	Benign	-
s04_c02	Benign	-
s04_c03	Benign	-
s04_c04	Benign	-
s04_c05	근거 있음	s156
s04_c06	근거 있음	s156
s04_c07	Benign	-
s04_c08	근거 있음	s159
s04_c09	근거 있음	s164
s04_c10	Benign	-
s04_c11	근거 있음	s170
s04_c12	근거 있음	s170
s04_c13	근거 있음	s177
s04_c14	Benign	-
s04_c15	근거 있음	s148
s04_c16	근거 있음	s148
s04_c17	Benign	-
s04_c18	근거 있음	s149
s04_c19	근거 있음	s152
s04_c20	Benign	-
s04_c21	근거 있음	s152
s04_c22	Benign	-
s04_c23	근거 있음	s183
s05_c01	Benign	-
s05_c02	Benign	-
s05_c03	Benign	-
s05_c04	Benign	-
s05_c05	Benign	-
s05_c06	근거 있음	s225
s05_c07	근거 있음	s225
s05_c08	근거 있음	s225
s05_c09	근거 있음	s225
s05_c10	근거 있음	s225
s05_c11	근거 있음	s225
s05_c12	근거 있음	s225
s05_c13	Benign	-
s05_c14	근거 있음	s225
s05_c15	모순	s225
s05_c16	모순	s194
s06_c01	Benign	-
s06_c02	근거 있음	R1
s06_c03	근거 있음	s234
s06_c04	근거 있음	s232
s06_c05	Benign	-
s06_c06	근거 있음	s238
s06_c07	근거 있음	s240
s06_c08	근거 있음	s241
s06_c09	근거 있음	s250
s06_c10	근거 있음	s254
s06_c11	근거 있음	s255
s06_c12	근거 있음	s259
s07_c01	Benign	-
s07_c02	근거 있음	R2
s07_c03	근거 있음	s262
s07_c04	근거 있음	s264
s07_c05	근거 있음	s265
s07_c06	근거 있음	s266
s07_c07	근거 있음	s272
s07_c08	Benign	-
s07_c09	근거 있음	s264
s07_c10	근거 있음	s265
s07_c11	근거 있음	s268
s07_c12	모순	s270
s07_c13	근거 있음	s271
s07_c14	근거 있음	s272
s07_c15	근거 있음	s284
s08_c01	Benign	-
s08_c02	모순	R3
s08_c03	근거 있음	s293
s08_c04	근거 있음	s301
s08_c05	Benign	-
s08_c06	근거 있음	s299
s08_c07	근거 있음	s311
s08_c08	근거 있음	s312
s08_c09	근거 있음	s316
s08_c10	근거 있음	s317
s08_c11	근거 있음	s321
s09_c01	Benign	-
s09_c02	Benign	-
s09_c03	근거 있음	s264
s09_c04	근거 있음	s265
s09_c05	모순	s297
s09_c06	근거 있음	s267
s09_c07	근거 있음	s335
s09_c08	근거 있음	s302
s09_c09	근거 있음	s339
s09_c10	근거 있음	s343
s09_c11	근거 있음	s327
s10_c01	Benign	-
s10_c02	근거 있음	s345
s10_c03	Benign	-
s10_c04	근거 있음	s345
s10_c05	근거 있음	s359
s10_c06	Benign	-
s10_c07	근거 있음	s362
s10_c08	근거 있음	s371
s10_c09	Benign	-
s10_c10	근거 있음	s375
s10_c11	근거 있음	s378
s10_c12	Benign	-
s10_c13	근거 있음	s380
s11_c01	Benign	-
s11_c02	근거 있음	s390
s11_c03	근거 있음	s390
s11_c04	근거 있음	s391
s11_c05	근거 있음	s391
s11_c06	근거 있음	s395
s11_c07	근거 있음	s395
s11_c08	근거 있음	s393
s11_c09	근거 있음	s393
s11_c10	무근거	-
s11_c11	무근거	-
