s01_c01	Benign	-
s01_c02	근거 있음	s128
s01_c03	근거 있음	s128
s01_c04	근거 있음	s001
s02_c01	Benign	-
s02_c02	근거 있음	s007
s02_c03	근거 있음	s004
s02_c04	근거 있음	s007
s02_c05	모순	s020
s03_c01	Benign	-
s03_c02	근거 있음	s009
s03_c03	근거 있음	s011
s03_c04	근거 있음	s015
s03_c05	무근거	s016
s04_c01	Benign	-
s04_c02	Benign	-
s04_c03	근거 있음	s128
s05_c01	Benign	-
s05_c02	근거 있음	s024
s05_c03	근거 있음	s032
s05_c04	근거 있음	s030
s05_c05	근거 있음	s034
s05_c06	무근거	s034
s06_c01	Benign	-
s06_c02	근거 있음	s037
s06_c03	Benign	-
s06_c04	근거 있음	T1
s06_c05	근거 있음	T1
s06_c06	근거 있음	T1
s06_c07	근거 있음	T1
s06_c08	근거 있음	T1
s06_c09	근거 있음	T1
s06_c10	근거 있음	s039
s06_c11	근거 있음	s045
s06_c12	근거 있음	s046
s06_c13	근거 있음	s048
s07_c01	Benign	-
s07_c02	근거 있음	s059
s07_c03	Benign	-
s07_c04	근거 있음	s060
s07_c05	근거 있음	s062
s07_c06	근거 있음	s064
s07_c07	근거 있음	s129
s07_c08	근거 있음	s063
s08_c01	Benign	-
s08_c02	근거 있음	s086
s08_c03	근거 있음	s086
s08_c04	모순	s095
s08_c05	근거 있음	s119
s08_c06	모순	s103
s09_c01	Benign	-
s09_c02	근거 있음	s104
s09_c03	Benign	-
s09_c04	근거 있음	T2
s09_c05	근거 있음	T2
s09_c06	근거 있음	T2
s09_c07	근거 있음	T2
s09_c08	근거 있음	T2
s09_c09	근거 있음	T2
s09_c10	근거 있음	s107
s09_c11	근거 있음	s112
s10_c01	Benign	-
s10_c02	근거 있음	s123
s10_c03	근거 있음	s120
s10_c04	근거 있음	s122
s10_c05	근거 있음	s124
s10_c06	모순	s133
s11_c01	Benign	-
s11_c02	Benign	-
s11_c03	근거 있음	s051
s11_c04	근거 있음	s117
s11_c05	근거 있음	s134
s11_c06	무근거	-
s12_c01	Benign	-
s12_c02	Benign	-
